sex,weight_g,group_size,neophobia_s,foraging_efficiency,sex_ratio,inhibitory_control,associative_learning,reversal_learning,spatial_memory,general_cognitive_score
M,336,10,0.734,0.103,1,3,10,12,3,1.2002
M,319,10,0.734,0.07,1,5,12,19,3,0.8347
M,349,10,0,NA,1,6,NA,NA,NA,NA
F,313,10,1.8,0.064,1,3,14,34,3,0.7695
F,348,10,2.05,0.132,1,3,24,13,3,0.8898
M,309,12,1,0.108,1.4,5,12,15,10,0.4704
M,315,12,0.4,0.094,1.4,5,11,27,2,0.7907
M,337,12,0.4,0.067,1.4,4,14,17,2,0.9917
M,316,12,0,0.148,1.4,4,12,24,4,0.8014
F,315,12,1.96,0.09,1.4,3,12,42,4,0.6245
F,316,12,1.4,0.065,1.4,5,11,21,2,0.8852
F,272,12,7.7,0.179,1.4,NA,NA,NA,NA,NA
M,317,12,1.2,0.046,1.4,3,15,23,8,0.6165
M,287,3,5.5,0.097,0.5,6,NA,NA,NA,NA
F,314,3,0.55,0.103,0.5,10,NA,NA,NA,NA
F,293,3,4.18,0.21,0.5,10,24,43,12,-0.8783
M,381,10,2,0.104,0.5,4,10,14,2,1.1232
F,338,10,0.825,0.184,0.5,NA,11,13,2,NA
F,335,10,15.3,0.106,0.5,NA,NA,NA,NA,NA
F,319,10,27,0.068,0.5,NA,NA,NA,NA,NA
M,327,6,1.26,0.198,1.5,4,17,16,9,0.517
M,306,6,2.7,0.099,1.5,5,24,16,12,0.08
F,321,6,1.04,0.051,1.5,10,25,52,11,-0.9801
F,290,6,1.94,0.117,1.5,5,17,10,9,0.505
M,291,7,1.92,0.108,1,5,19,18,8,0.3979
M,301,7,2.86,0.113,1,5,17,15,6,0.6093
M,281,7,1.4,0.172,1,4,14,11,9,0.6589
F,304,7,1.16,0.122,1,10,31,76,8,-1.3013
F,316,7,0.52,0.052,1,7,11,50,13,-0.4563
F,307,7,4,0.187,1,7,22,51,6,-0.2762
F,308,3,1.84,0.102,0.5,10,62,86,20,-2.8437
F,331,3,1.44,0.17,0.5,3,55,94,27,-2.5036
M,311,3,6.7,0.024,0.5,10,NA,NA,NA,NA
M,336,6,0,0.116,1,10,27,71,7,-1.0773
M,332,6,1.96,0.075,1,9,33,48,12,-1.0399
F,318,6,1.08,0.098,1,10,31,43,16,-1.2698
F,302,6,0,0.084,1,10,14,48,15,-0.9298
F,295,5,2.1,0.116,1,9,NA,NA,3,NA
F,293,5,2.76,0.08,1,10,44,57,16,-1.7639
M,331,6,2.72,0.07,0.67,6,28,34,8,-0.1502
M,329,6,0.9,0.156,0.67,10,65,40,11,-1.6328
F,342,6,1.42,0.15,0.67,7,42,55,10,-1.0043
F,320,6,13.9,0.219,0.67,6,NA,NA,NA,NA
F,317,6,0.8,0.154,0.67,4,37,12,11,0.0371
M,374,7,0.52,0.06,5,6,38,14,6,0.0766
M,323,7,0,0.115,5,10,13,12,4,0.3299
M,342,7,0,0.062,5,6,10,12,8,0.5752
M,320,7,0,0.115,5,3,NA,NA,NA,NA
M,332,7,0,0.062,5,3,23,20,6,0.6175
F,312,7,0,0.133,5,4,22,18,3,0.7466
M,301,8,0,0.112,0.6,4,11,16,4,0.9485
F,315,8,0,0.136,0.6,8,18,12,4,0.4379
F,337,8,0.2,0.051,0.6,6,11,17,5,0.6585
F,304,8,0,0.198,0.6,3,17,23,6,0.6965
F,332,8,0,0.103,0.6,3,NA,NA,10,NA
F,312,6,0,0.106,2,NA,NA,NA,NA,NA
F,336,11,0,0.177,0.6,4,11,13,2,1.1179
M,329,10,10.25,0.108,0.5,3,13,13,NA,NA
