taxon,body_weight_g,brain_weight_g,diet_category,group_size
Alouatta_caraya,5597,52.72,Fol,6.68
Alouatta_palliata,6359,50.91,Fol,15.55
Alouatta_pigra,8940,52.97,Fol,5.93
Alouatta_seniculus,6247,56.57,Fol,6.97
Aotus_azarai,1073,21.41,Frug/Fol,3
Aotus_lemurinus,870,16.78,Frug,3.5
Aotus_trivirgatus,871,17.21,Frug,3.51
Arctocebus_calabarensis,239,7.17,Om,1.25
Ateles_belzebuth,6409,118.58,Frug/Fol,16.4
Ateles_fusciceps,8034,114.59,Frug,5
Ateles_geoffroyi,6712,108.54,Frug,28.02
Ateles_paniscus,7790,105.94,Frug,25.5
Avahi_laniger,1300,10.25,Fol,2.67
Avahi_occidentalis,796,8.24,Fol,NA
Brachyteles_arachnoides,9248,120.1,Frug/Fol,27.08
Hoolock_hoolock,6787,114.66,Frug,3.35
Cacajao_calvus,3293,73.3,Frug,15
Callicebus_moloch,884,17.73,Frug,3.37
Callicebus_torquatus,1153,20.56,Frug,3.58
Callimico_goeldii,539,11.75,Om,6.5
Callithrix_argentata,361,8.05,Om,6.2
Callithrix_geoffroyi,342,8.64,Om,9
Callithrix_jacchus,273,7.64,Frug,7.88
Callithrix_penicillata,323,7.55,Om,6.6
Callithrix_pygmaea,126,4.45,Om,5.63
Cebus_albifrons,2536,64.71,Om,21.13
Cebus_apella,2669,68.75,Om,12.06
Cebus_capucinus,2798,73.79,Om,16.97
Cebus_olivaceus,2647,72.96,Om,22.42
Cercocebus_agilis,7553,118.32,Frug,15
Cercocebus_torquatus_atys,7771,99.81,Frug,95
Cercocebus_galeritus,7838,102.64,Frug,21.8
Cercocebus_torquatus,8240,111.43,Frug,30.17
Chlorocebus_pygerythrus,4060,64.78,Frug,40.5
Cercopithecus_ascanius,4157,63.62,Frug,26.29
Cercopithecus_campbelli,3776,58.98,Frug,9.63
Cercopithecus_cephus,3517,67.93,Frug,10.75
Cercopithecus_diana,4520,64.86,Frug,20.3
Cercopithecus_lhoesti,5004,76,Frug,14.2
Cercopithecus_mitis,6335,73.96,Frug,21.28
Cercopithecus_mona,4467,65.7,Frug,21.5
Cercopithecus_neglectus,5590,67.54,Frug,5
Cercopithecus_nictitans,5178,73.69,Frug,18.25
Cercopithecus_pogonias,3588,63.27,Frug,14.83
Cheirogaleus_major,430,6.12,Om,5.5
Cheirogaleus_medius,189,2.91,Om,2
Chiropotes_satanas,2955,50.07,Frug,19.5
Chlorocebus_aethiops,4214,63.92,Frug,22.57
Colobus_angolensis,8808,71.56,Fol,9
Piliocolobus_badius,8105,65.97,Fol,29.18
Colobus_guereza,10052,77.37,Fol,8.6
Colobus_polykomos,9119,76.02,Fol,11
Colobus_satanas,10750,80.2,Fol,14.33
Procolobus_verus,4025,54.53,Fol,8
Daubentonia_madagascariensis,2603,46.34,Om,1.75
Erythrocebus_patas,7858,97.87,Om,26.52
Eulemur_coronatus,2100,21.39,Frug/Fol,6.95
Eulemur_fulvus_fulvus,2332,24.79,Frug/Fol,10.08
Eulemur_macaco_macaco,2337,24.63,Frug/Fol,8.97
Eulemur_mongoz,1810,21.45,Frug/Fol,2.7
Eulemur_rubriventer,1727,26.92,Frug/Fol,3.1
Euoticus_elegantulus,303,5.73,Om,2.5
Galago_alleni,250,6.1,Om,1.75
Galago_moholi,183,3.84,Om,2
Galago_senegalensis,210,4.13,Om,1
Galagoides_demidoff,62,3.38,Om,2.25
Galagoides_zanzibaricus,147,3.64,Om,3.5
Gorilla_beringei,136213,508.96,Fol,13
Gorilla_gorilla_gorilla,121327,507.25,Fol,10.05
Hapalemur_griseus,1021,14.6,Fol,3.55
Hylobates_agilis,5251,90.65,Frug/Fol,3.95
Hylobates_klossii,5861,92.04,Om,3.6
Hylobates_lar,5463,105.28,Frug,3.51
Hylobates_moloch,6034,106.71,Frug/Fol,3.5
Hylobates_muelleri,5837,90.89,Frug/Fol,3.45
Hylobates_pileatus,5639,87.73,Frug/Fol,3.85
Indri_indri,10500,36.31,Fol,3.28
Lagothrix_lagotricha,7648,99.69,Om,20.31
Lemur_catta,2380,23.25,Frug,15.75
Leontopithecus_chrysomelas,614,12.26,Om,6.7
Leontopithecus_rosalia,624,13.12,Om,5.4
Lepilemur_mustelinus,625,9.9,Fol,1.5
Lepilemur_ruficaudatus,750,8.44,Fol,NA
Lophocebus_albigena,7932,97.49,Frug,15.68
Lophocebus_aterrimus,6655,108.91,Frug,9.5
Loris_tardigradus,270,6.05,Om,2
Macaca_arctoides,7878,101.06,Frug,13.75
Macaca_fascicularis,4644,66.53,Frug,27.52
Macaca_fuscata,9499,98.59,Frug/Fol,64.65
Macaca_mulatta,6472,88.94,Frug,36.36
Macaca_nemestrina,7245,109.87,Frug,31.56
Macaca_nigra,7662,91.46,Frug,47
Macaca_radiata,5877,79.47,Frug,28.86
Macaca_silenus,6935,82.88,Om,19
Macaca_sinica,4513,73.14,Frug,24.8
Macaca_sylvanus,11173,97.36,Frug/Fol,21.86
Mandrillus_leucophaeus,16252,185.96,Frug,96.5
Mandrillus_sphinx,19843,162.41,Frug,95
Microcebus_murinus,64,1.72,Om,5.1
Microcebus_rufus,48,1.78,Om,2.25
Miopithecus_talapoin,1237,37.7,Om,68.38
Mirza_coquereli,315,6,Om,1.5
Nasalis_larvatus,13442,96.21,Fol,9.94
Nomascus_concolor,6632,131.7,Frug,3.5
Nycticebus_coucang,838,10.73,Om,1
Nycticebus_pygmaeus,414,7.53,Om,NA
Otolemur_crassicaudatus,1367,12.2,Om,2.25
Otolemur_garnettii,1056,11.24,Om,NA
Pan_paniscus,37522,346.24,Frug,67.5
Pan_troglodytes_troglodytes,48328,376.13,Frug,42.71
Papio_anubis,17210,171.8,Frug,47.05
Papio_cynocephalus,14291,169.41,Frug,48.21
Papio_hamadryas,12002,154.44,Frug/Fol,41.13
Papio_papio,17811,165.3,Frug,136.67
Papio_ursinus,20015,195.43,Frug/Fol,41.1
Perodicticus_potto,1124,12.85,Om,1.25
Pithecia_pithecia,1574,33.35,Frug,2.65
Pongo_abelii,48223,409.52,Frug,2
Pongo_pygmaeus,55279,382.46,Frug,1.6
Presbytis_comata,6460,61.12,Fol,7
Presbytis_melalophos,5326,66.91,Fol,12.77
Propithecus_diadema,7500,41.23,Fol,5.55
Propithecus_verreauxi,3389,27.05,Fol,5.92
Pygathrix_nemaeus,9250,91.96,Fol,21.45
Saguinus_fuscicollis,407,8.15,Om,5.7
Saguinus_geoffroyi,496,14.13,Om,5.15
Saguinus_midas,551,10.12,Om,5
Saguinus_mystax,541,11.52,Om,5.3
Saguinus_oedipus,389,9.76,Om,6.3
Saimiri_boliviensis,707,25.74,Om,20
Saimiri_oerstedii,670,23.11,Om,24
Saimiri_sciureus,811,24.14,Om,37.81
Semnopithecus_entellus,11399,113.78,Fol,24.75
Symphalangus_syndactylus,9246,128.89,Fol,3.86
Tarsius_bancanus,105,3.25,Om,2
Tarsius_syrichta,108,3.48,Om,2
Theropithecus_gelada,14788,136.21,Frug,151.3
Trachypithecus_cristatus,5454,59.15,Fol,24.75
Trachypithecus_johnii,11098,86.48,Fol,16.5
Trachypithecus_obscurus,5776,63.66,Fol,10.3
Trachypithecus_phayrei,8041,76.74,Fol,8.8
Trachypithecus_pileatus,10153,107.37,Fol,6.2
Trachypithecus_vetulus,7706,63.5,Fol,13
Varecia_variegata_variegata,3335,32.64,Frug,5.93
