discipline_code,discipline_name
CRD,Cycling Road
GAR,Artistic Gymnastics
ROW,Rowing
BKB,Basketball
HBL,Handball
SWM,Swimming
KTE,Karate
WRE,Wrestling
GRY,Rhythmic Gymnastics
BSB,Baseball/Softball
ATH,Athletics
JUD,Judo
SHO,Shooting
TTE,Table Tennis
FBL,Football
TKW,Taekwondo
FEN,Fencing
BDM,Badminton
BOX,Boxing
WLF,Weightlifting
ARC,Archery
DIV,Diving
VBV,Beach Volleyball
SAL,Sailing
HOC,Hockey
GTR,Trampoline Gymnastics
OWS,Marathon Swimming
TRI,Triathlon
CSL,Canoe Slalom
WPO,Water Polo
SRF,Surfing
CSP,Canoe Sprint
BMX,Cycling BMX Racing
RUG,Rugby Sevens
VVO,Volleyball
EQU,Equestrian
TEN,Tennis
SWA,Artistic Swimming
CTR,Cycling Track
GLF,Golf
SKB,Skateboarding
MPN,NA
MTB,Cycling Mountain Bike
BK3,3x3 Basketball
BMF,Cycling BMX Freestyle
CLB,Sport Climbing
